RULENAME,ALIAS,SOURCEA,SOURCEB
RPV_04,RPV_04 BAN_TRX_LOG Miss in TMO,VIDS_SPR_BAN_TRX_LOG,VIDS_TMO_BAN_TRX_LOG
RPV_05,RPV_05 BAN_TRX_LOG Miss in SPR,VIDS_TMO_BAN_TRX_LOG,VIDS_SPR_BAN_TRX_LOG
RPV_06,RPV_06 BAN_TRX_LOG Mism,VIDS_MISM_ATTR_BAN_TRX_LOG,
RPV_10,RPV_10_SUBSCR_SRV_AGR Miss TMO,VIDS_SPR_SUBSCR_SRV_AGR,VIDS_TMO_SUBSCR_SRV_AGR
RPV_11,RPV_11_SUBSCR_SRV_AGR miss SPR,VIDS_TMO_SUBSCR_SRV_AGR,VIDS_SPR_SUBSCR_SRV_AGR
RPV_12,RPV_12_SUBSCR_SRV_AGR mism ATT,VIDS_MISM_ATTR_SUBSCR_SRV_AGR,
RPV_13,RPV_13 PASS_AG_QUE Miss in TMO,VIDS_SPR_PASS_AGREEMENT_QUEUE,VIDS_TMO_PASS_AGREEMENT_QUEUE
RPV_14,RPV_14 PASS_AG_QUE Miss in SPR,VIDS_TMO_PASS_AGREEMENT_QUEUE,VIDS_SPR_PASS_AGREEMENT_QUEUE
RPV_15,RPV_15 PASS_AG_QUE Mism,VIDS_MISM_ATTR_PASS_AGG_QUE,
SPE_01,SPE_01 Samson Log Miss in SPE,VIDS_SPR_SERVICE_PROMO_LOG,VIDS_SPE_SAMSON_LOG
SPE_02,SPE_02 Samson Log Miss in SPR,VIDS_SPE_SAMSON_LOG,VIDS_SPR_SERVICE_PROMO_LOG
SPE_03,SPE_03 Samson Log Mism Attr,VIDS_MISM_ATTR_SPE_SAMSON_LOG,
SPE_04,SPE_04 Promo Dur Miss in SPE,VIDS_SPR_SERVICE_PROMO_SOURCE,VIDS_DS_SPE_SRV_PROMO_DUR_QUEUE
SPE_05,SPE_05 Promo Dur Miss in SPR,VIDS_DS_SPE_SRV_PROMO_DUR_QUEUE,VIDS_SPR_SERVICE_PROMO_SOURCE
SPE_06,SPE_06 Promo Dur Mism Attr,VIDS_MISM_ATTR_SPE_SRV_PROMO,
SPE_07,SPE_07 Promo Sub Miss in SPE,VIDS_SUBSCRIBER_PROMO_SOURCE,VIDS_SPE_SUB_PROMO_LIST
SPE_08,SPE_08 Promo Sub Miss in SPR,VIDS_SPE_SUB_PROMO_LIST,VIDS_SPR_SERVICE_PROMO_SOURCE
SPE_09,SPE_09 Promo Sub Mism Attr,VIDS_MISM_ATTR_SPE_SUB_PROMO_LIST,
SPR_01,SPR_01 Injected BAN Closure Va,VIDS_SPR_01,
SPR_02,SPR_02 Injected Sub Closure Va,VIDS_SPR_02,
SPR_03,SPR_03 AR Balance Closure Vali,VIDS_SPR_03,
SPR_04,SPR_04 Failed Unlocked Validat,VIDS_SPR_04,
TAX_01,TAX_01 Tax Exempt Validation,VIDS_TAX_01,
TMO_01,TMO_01 BAN migration indicator,VIDS_TMO_01,
TMO_02,TMO_02 Sub migration ind Valid,VIDS_TMO_02,
TMO_03,TMO_03 Conv BAN Lock Past SLA,VIDS_TMO_03,
USG_01,USG_01 Comptel to MAF usg bal,VIDS_USG_01,
USG_02,USG_02 Internal MAF usage bal,VIDS_USG_02_03,
USG_03,USG_03 MAF to TEMO usage bal,VIDS_USG_02_03,
USG_04,USG_04 TEMP Usage Balancing,VIDS_USG_04_05_06,
USG_05,USG_05 TEMP to Guiding Bal,VIDS_USG_04_05_06,
USG_06,USG_06 Samson Usage Balancing,VIDS_USG_04_05_06,
USG_07,USG_07 Cancel to TEMP MOU Diff,VIDS_USG_07_08_09,
USG_08,USG_08 Cancel to TEMP KB Diff,VIDS_USG_07_08_09,
USG_09,USG_09 Cancel to TEMP Event  D,VIDS_USG_07_08_09,
USG_10,USG_10 Can to TEMP Evnt D PREM,VIDS_USG_10,


Completion time: 2022-10-31T17:09:44.7939888-04:00
