RULENAME,ALIAS,SOURCEA,SOURCEB
CM_35,CM_35 Sub Hist Miss in SPR,VIDS_TMO_SUBSCRIBER_HISTORY,VIDS_SPR_SUBSCRIBER_HISTORY
CM_36,CM_36 Sub Hist Mism Attr,VIDS_MISM_ATTR_SUBSCRIBER_HISTORY,
CM_37,CM_37 Memo Miss in TMO,VIDS_SPR_MEMO,VIDS_TMO_MEMO
CM_38,CM_38 Memo Miss in SPR,VIDS_TMO_MEMO,VIDS_SPR_MEMO
CM_39,CM_39 Memo Mism Attr,VIDS_MISM_ATTR_MEMO,
CM_40,CM_40 Follow Up Miss in TMO,VIDS_SPR_FOLLOW_UP,VIDS_TMO_FOLLOW_UP
CM_41,CM_41 Follow Up Miss in SPR,VIDS_TMO_FOLLOW_UP,VIDS_SPR_FOLLOW_UP
CM_42,CM_42 Follow Up Mism Attr,VIDS_MISM_ATTR_FOLLOW_UP,
CM_43,CM_43 Credit Hist Miss in TMO,VIDS_SPR_CREDIT_HISTORY,VIDS_TMO_CREDIT_HISTORY
CM_44,CM_44 Credit Hist Miss in SPR,VIDS_TMO_CREDIT_HISTORY,VIDS_SPR_CREDIT_HISTORY
CM_45,CM_45 Credit Hist Mism Attr,VIDS_MISM_ATTR_CREDIT_HISTORY,
CM_46,CM_46 Paperless Bill Miss in T,VIDS_SPR_PAPERLESS_BILL,VIDS_TMO_PAPERLESS_BILL
CM_47,CM_47 Paperless Bill Miss in S,VIDS_TMO_PAPERLESS_BILL,VIDS_SPR_PAPERLESS_BILL
CM_48,CM_48 Paperless Bill Mism Attr,VIDS_MISM_ATTR_PAPERLESS_BILL,
CM_49,CM_49 Device Ident Miss in TMO,VIDS_SPR_DEVICE_IDENT,VIDS_TMO_DEVICE_IDENT
CM_50,CM_50 Device Ident Miss in SPR,VIDS_TMO_DEVICE_IDENT,VIDS_SPR_DEVICE_IDENT
CM_51,CM_51 Device Ident Mism Attr,VIDS_MISM_ATTR_DEVICE_IDENT,
CM_52,CM_52 CTN Inv Miss in TMO,VIDS_SPR_CTN_INV,VIDS_TMO_CTN_INV
CM_53,CM_53 CTN Inv Miss in SPR,VIDS_TMO_CTN_INV,VIDS_SPR_CTN_INV
CM_54,CM_54 CTN Inv Mism,VIDS_MISM_ATTR_CTN_INV,
CM_55,CM_55 Add Params Miss in TMO,VIDS_SPR_ADDITIONAL_PARAMS,VIDS_TMO_ADDITIONAL_PARAMS
CM_56,CM_56 Add Params Miss in SPR,VIDS_TMO_ADDITIONAL_PARAMS,VIDS_SPR_ADDITIONAL_PARAMS
CM_57,CM_57 Add Params Mism,VIDS_MISM_ATTR_ADDITIONAL_PARAMS,
CM_58,CM_58 Acct Mig Lnk Miss in TMO,VIDS_SPR_ACCOUNT_MIGR_LINKS,VIDS_TMO_ACCOUNT_MIGR_LINKS
CM_59,CM_59 Acct Mig Lnk Miss in SPR,VIDS_TMO_ACCOUNT_MIGR_LINKS,VIDS_SPR_ACCOUNT_MIGR_LINKS
CM_60,CM_60 Acct Mig Lnk Mism,VIDS_MISM_ATTR_ACCOUNT_MIGR_LINKS,
CM_61,CM_61 Acct Classif Miss in TMO,VIDS_SPR_ACCOUNT_CLASSIFICATION,VIDS_TMO_ACCOUNT_CLASSIFICATION
CM_62,CM_62 Acct Classif Miss in SPR,VIDS_TMO_ACCOUNT_CLASSIFICATION,VIDS_SPR_ACCOUNT_CLASSIFICATION
CM_63,CM_63 Acct Classif Mism,VIDS_MISM_ATTR_ACCT_CLASSIF,
CM_64,CM_64 Tax Exemption Miss in TM,VIDS_SPR_TAX_EXEMPTION,VIDS_TMO_TAX_EXEMPTION
CM_65,CM_65 Tax Exemption Miss in SP,VIDS_TMO_TAX_EXEMPTION,VIDS_SPR_TAX_EXEMPTION
CM_66,CM_66 Tax Exemption Mism Attr,VIDS_MISM_ATTR_TAX_EXEMPTION,
CM_67,CM_67 Service FTR Miss in TMO,VIDS_SPR_SERVICE_FEATURE,VIDS_TMO_SERVICE_FEATURE
CM_68,CM_68 Service FTR Miss in SPR,VIDS_TMO_SERVICE_FEATURE,VIDS_SPR_SERVICE_FEATURE
CM_69,CM_69 Service Feature Mism Att,VIDS_MISM_ATTR_SERVICE_FEATURE,
CM_70,CM_70 Ban Pt Hist Miss in TMO,VIDS_DS_BAN_POOL_PT_HIST,VIDS_TMO_BAN_POOL_PT_HIST
CM_71,CM_71 Ban Pt Hist Miss in Srv ,VIDS_TMO_BAN_POOL_PT_HIST,VIDS_DS_BAN_POOL_PT_HIST
CM_72,CM_72 Ban Pt Hist Mism,VIDS_MISM_ATTR_BAN_PT_HIST,
CM_73,CM_73 Port Request Miss in TMO,VIDS_SPR_PORT_REQUEST,VIDS_TMO_PORT_REQUEST
CM_74,CM_74 Port Request Miss in SPR,VIDS_TMO_PORT_REQUEST,VIDS_SPR_PORT_REQUEST
CM_75,CM_75 Port Request Mism Attr,VIDS_MISM_ATTR_PORT_REQUEST,
CM_85,CM_85 CUST SEG Miss in TMO,VIDS_SPR_CUST_SEGMENTATION,VIDS_TMO_CUST_SEGMENTATION
CM_86,CM_86 CUST SEG Miss in SPR,VIDS_TMO_CUST_SEGMENTATION,VIDS_SPR_CUST_SEGMENTATION
CM_87,CM_87 CUST SEG Mism,VIDS_MISM_ATTR_CUST_SEG,
DLC_01,DLC_01 Miss in TMO Acct table,VIDS_SPR_LOAN,VIDS_MERC_ACCOUNTS
DLC_02,DLC_02 Miss in SPR Loan table,VIDS_MERC_ACCOUNTS,VIDS_SPR_LOAN
DLC_03,DLC_03 TMO Acct_SPR loan Mism,VIDS_MISM_ATTR_LOAN_VS_ACCOUNTS,
DLC_04,DLC_04 Miss in TMO Agree table,VIDS_SPR_LOAN,VIDS_MERC_AGREEMENTS_TMO
DLC_05,DLC_05 Miss in SPR Loan table,VIDS_MERC_AGREEMENTS_TMO,VIDS_SPR_LOAN
DLC_06,DLC_06 TMO Agree_SPR loan Mism,VIDS_MISM_ATTR_LOANS_VS_AGREEMENTS,
DLC_07,DLC_07 Miss in TMO Asset table,VIDS_SPR_LOAN,VIDS_MERC_ASSETS_ACCOUNTS
DLC_08,DLC_08 Miss in SPR Loan table,VIDS_MERC_ASSETS_ACCOUNTS,VIDS_SPR_LOAN
DLC_09,DLC_09 TMO Asset_SPR loan Mism,VIDS_MISM_ATTR_LOANS_VS_ASSETS,
DLC_10,DLC_10 Loan Records LCV,VIDS_SPR_LOAN_LCV,
DLC_11,DLC_11 Loan Installment LCV,VIDS_SPR_LOAN_INSTALLMENT_LCV,
DLC_12,DLC_12 Term Remaining LCV,VIDS_SPR_TERM_REMAINING_LCV,
DLC_13,DLC_13 Total Paid Amount LCV,VIDS_TOTAL_PAID_AMOUNT_LCV,
DLC_15,DLC_15 Total Instal Remain LCV,VIDS_SPR_AGR_INSTALL_REMAINING_LCV,
DLCGL_01,DLCGL_01 ARBal SPR vs REVAP JO,VIDS_DLCGL_01,
DPC_01,DPC_01 Loan Award Miss in LPA,VIDS_SPR_MAC_SCHEDULE_DPC,VIDS_LPA_LOAN_AWARD
DPC_02,DPC_02 Loan Award Miss in SPR,VIDS_LPA_LOAN_AWARD,VIDS_SPR_MAC_SCHEDULE_DPC
DPC_03,DPC_03 Loan Award Atr Mismatch,VIDS_MISM_ATTR_LOAN_AWARD,
DPC_04,DPC_04 LN Awd Rprt Miss in LPA,VIDS_SPR_MAC_SCHEDULE_DPC,VIDS_LPA_LOAN_AWARD_REPORTING
DPC_05,DPC_05 LN Awd Rprt Miss in SPR,VIDS_LPA_LOAN_AWARD_REPORTING,VIDS_SPR_MAC_SCHEDULE_DPC
DPC_06,DPC_06 LN Awd Rpt Atr Mismatch,VIDS_MISM_ATTR_LOAN_AWARD_REPORTING,
DPC_07,DPC_07 LN Awd FnAct Mis in LPA,VIDS_SPR_MAC_SCHEDULE_DPC,VIDS_LPA_LOAN_AWARD_FIN_ACT
DPC_08,DPC_08 LN Awd FnAct Mis in SPR,VIDS_LPA_LOAN_AWARD_FIN_ACT,VIDS_SPR_MAC_SCHEDULE_DPC
DPC_09,DPC_09 LN Awd Fin Act Mismatch,VIDS_MISM_ATTR_LN_AWRD_FIN_ACT,
DPC_10,DPC_10 LN Awd AcTra Mis in LPA,VIDS_SPR_MAC_SCHEDULE_DPC,VIDS_LPA_LOAN_AWARD_ACC_TRA
DPC_11,DPC_11 LN Awd AcTra Mis in SPR,VIDS_LPA_LOAN_AWARD_ACC_TRA,VIDS_SPR_MAC_SCHEDULE_DPC
DPC_12,DPC_12 LN Awd Acc Tra Mismatch,VIDS_MISM_ATTR_LN_AWRD_ACC_TRA,
DPC_13,DPC_13 LN Prmo Awd Miss in LPA,VIDS_SPR_MAC_SCHEDULE_DPC,VIDS_LPA_LOAN_PROMOTION_AWARD
DPC_14,DPC_14 LN Prmo Awd Miss in SPR,VIDS_LPA_LOAN_PROMOTION_AWARD,VIDS_SPR_MAC_SCHEDULE_DPC_LPA
DPC_15,DPC_15 LN Prmo Awd Atr Msmatch,VIDS_MISM_ATTR_LN_PROMO_AWARD,
EDS_01,EDS_01 Activity Miss in EDS,VIDS_ASW_SPR_ACTIVITY_DATA,VIDS_ASW_EDS_ACTIVITY_DATA
EDS_02,EDS_02 Activity Miss in SPR,VIDS_ASW_EDS_ACTIVITY_DATA,VIDS_ASW_SPR_ACTIVITY_DATA
EDS_03,EDS_03 Activity Data Mism Attr,VIDS_MISM_ATTR_ASW_ACTIVITY_DATA,
GL_01,GL_01 AR Bal SPR vs TMO Journa,VIDS_GL_01,
METRO_01,METRO_01 BAN migration indicat,VIDS_METRO_01,
METRO_02,METRO_02 Sub migration ind Val,VIDS_METRO_02,
MTR_01,MTR_01 BillAcc Missin Metro,VIDS_PRP_SPR_BILLING_ACCOUNT,VIDS_METRO_BILLING_ACCOUNT
MTR_02,MTR_02 BillAcc Missin SPR,VIDS_METRO_BILLING_ACCOUNT,VIDS_PRP_SPR_BILLING_ACCOUNT
MTR_03,MTR_03 BillAcc Mismatch,VIDS_MISM_ATTR_PRP_BILLING_ACC,
MTR_04,MTR_04 Subs Missin METRO,VIDS_PRP_SPR_SUBSCRIBER,VIDS_METRO_SUBSCRIBER
MTR_05,MTR_05 Subs Missin PRP_SPR,VIDS_METRO_SUBSCRIBER,VIDS_PRP_SPR_SUBSCRIBER
MTR_06,MTR_06 Subs Mismatch,VIDS_MISM_ATTR_PRP_SUBSCRIBE,
MTR_07,MTR_07 NameData Missin METRO,VIDS_PRP_SPR_NAME_DATA,VIDS_METRO_NAME_DATA
MTR_08,MTR_08 Name Data Missin SPR,VIDS_METRO_NAME_DATA,VIDS_PRP_SPR_NAME_DATA
MTR_09,MTR_09 Name_Data Mismatch,VIDS_MISM_ATTR_PRP_NAME_DATA,
MTR_10,MTR_10 AddrData Missin METRO,VIDS_PRP_SPR_ADDRESS_DATA,VIDS_METRO_ADDRESS_DATA
MTR_11,MTR_11 AddrData Missin SPR,VIDS_METRO_ADDRESS_DATA,VIDS_PRP_SPR_ADDRESS_DATA
MTR_12,MTR_12 AddrData Mismatch,VIDS_MISM_ATTR_PRP_ADDR_DATA,
MTR_16,MTR_16 SERV_AGR miss in Metro,VIDS_PRP_SPR_SERVICE_AGREEMENT,VIDS_METRO_SERVICE_AGREEMENT
MTR_17,MTR_17 SERV_AGR miss in SPR,VIDS_METRO_SERVICE_AGREEMENT,VIDS_PRP_SPR_SERVICE_AGREEMENT
MTR_18,MTR_18 SERV_AGR Mismatch,VIDS_MISM_ATTR_PRP_SERVICE_AGR,
MTR_19,MTR_19 PHY_DEVICE Missin Met,VIDS_PRP_SPR_PHYSICAL_DEVICE,VIDS_METRO_PHYSICAL_DEVICE
MTR_20,MTR_20 PHY_DEVICE MissinSPR,VIDS_METRO_PHYSICAL_DEVICE,VIDS_PRP_SPR_PHYSICAL_DEVICE
MTR_21,MTR_21 PHY_DEVICE Mismatch,VIDS_MISM_ATTR_PRP_PHYSICAL_DEVICE,
MTR_22,MTR_22 SUBS_RES Missin Metro,VIDS_PRP_SPR_SUBSCRIBER_RESOURCE,VIDS_METRO_SUBSCRIBER_RESOURCE
MTR_23,MTR_23 SUBS_RES Missin SPR,VIDS_METRO_SUBSCRIBER_RESOURCE,VIDS_PRP_SPR_SUBSCRIBER_RESOURCE
